#,ID,Emoji,Category,Relationship,Question,Example
1,q1,😊,Warmth,Your Boss,"Did you give someone a real smile today?","e.g. Smiling at your manager in the hallway before they smiled first."
2,q2,👋,Warmth,Your Teammates,"Did you say hi to people today?","e.g. Greeting your desk neighbor or saying hey in the kitchen."
3,q3,🙏,Warmth,Your Classmates,"Did you tell someone thanks and mean it?","e.g. Thanking a classmate for sharing notes or covering for you."
4,q4,🫂,Warmth,Your Teammates,"Did you say hello to everyone?","e.g. Making a point to acknowledge each person in your small team or meeting."
5,q5,🏠,Warmth,Your Boss,"Did you treat people like part of the team today?","e.g. Including your boss in a quick chat or asking how their day is going."
6,q6,🤝,Reciprocity,Your Teammates,"Did you do a little favor for someone just because?","e.g. Grabbing coffee for a teammate or sending them a link they needed."
7,q7,🙌,Reciprocity,Your Classmates,"Did you help someone out without making it a big deal?","e.g. Quick help with a problem or lending something without a fuss."
8,q8,📋,Reciprocity,Your Boss,"Did you ask someone for a small favor?","e.g. Asking your boss for a quick review or to forward an email."
9,q9,🔍,Connection,Your Classmates,"Did you find something in common with someone?","e.g. Discovering you both like the same show, sport, or coffee spot."
10,q10,🌱,Connection,Your Teammates,"Did you make someone feel like they belong?","e.g. Inviting someone into the conversation or using ""we"" so they feel included."
11,q11,🪞,Connection,Your Classmates,"Did you find out you and someone have something in common?","e.g. Same hometown, same hobby, or both stressed about the same deadline."
12,q12,🕊️,Emotional,Your Boss,"Things got awkward — did you help ease the tension?","e.g. Lightening the mood after a tough moment or changing the subject kindly."
13,q13,💫,Emotional,Your Teammates,"Did you make someone feel good today?","e.g. A real compliment, a high-five after a win, or noticing something they did well."
14,q14,⚡,Influence,Your Boss,"Did you pump someone up to go do something?","e.g. Encouraging your boss or a senior to take a step they were unsure about."
15,q15,↗️,Influence,Your Teammates,"Did you turn a conversation in a new direction?","e.g. Shifting from small talk to a real topic, or from problem to next step."
16,q16,🎁,Surprise,Your Classmates,"Did you surprise someone with something unexpected?","e.g. A small treat, a kind comment, or bringing up something they said earlier."
17,q17,🎭,Surprise,Your Teammates,"Did you do something nobody expected?","e.g. Speaking up when you usually stay quiet, or cracking a joke in a serious meeting."
18,q18,🎪,Surprise,Your Classmates,"Did you let a conversation happen naturally?","e.g. Not steering it with an agenda — just following where it went."
19,q19,🗣️,Communication,Your Boss,"How was your tone today? Warm? Chill? Off?","e.g. Calm and clear in a meeting vs. short or dismissive when busy."
20,q20,🖼️,Communication,Your Teammates,"Did you say something, explain why, then back it up?","e.g. ""I think we should X because Y"" and then giving a quick reason or example."
21,q21,🔗,Listening,Your Classmates,"Did you keep asking questions based on what they said?","e.g. They mentioned a project — you asked how it went or what they learned."
22,q22,❓,Listening,Your Boss,"When you didn't get it, did you ask?","e.g. ""Can you clarify what you mean by that?"" or ""So you want me to…?"""
23,q23,🔄,Listening,Your Teammates,"When someone said something, did you ask a follow-up?","e.g. They said they had a busy weekend — you asked what they did."
24,q24,👁️,Presence,Your Boss,"Did you make eye contact with people?","e.g. Looking at your boss when they talk, not at your screen the whole time."
25,q25,👀,Presence,Your Teammates,"Did you look someone in the eyes and really connect?","e.g. In a 1:1 or quick chat, giving them your full attention for a moment."
26,q26,🧱,Presence,Your Classmates,"Did you walk in like you belong?","e.g. Confident posture, saying hi first, not hovering at the edge of the room."
27,q27,🦁,Presence,Your Teammates,"Did you take up space and own it?","e.g. Sharing your view in a meeting or sitting at the table, not in the corner."
28,q28,💬,Initiative,Your Classmates,"Did you say something out loud and pull someone in with something positive?","e.g. ""This is so good"" near someone, or ""What do you think?"" to include them."
29,q29,🏷️,Environment,Your Teammates,"Got any stickers, logos, or cool stuff on display?","e.g. A mug, a plant, a photo, or something that gives people a hook to start a chat."
30,q30,📖,Vulnerability,Your Boss,"Did you share something personal?","e.g. Mentioning a hobby, a rough morning, or something you're working on improving."
31,q31,🤫,Vulnerability,Your Teammates,"Did you share something personal in a conversation?","e.g. ""I was nervous about that too"" or ""I messed that up last week."""
32,q32,💜,Vulnerability,Your Classmates,"Did you let your guard down a little?","e.g. Asking for help, admitting you don't know something, or sharing a small struggle."
33,q33,🤷,Humility,Your Boss,"Did you ease up on the know-it-all stuff?","e.g. Letting someone else have the answer, or saying ""you might be right"" instead of debating."
34,q34,🤲,Humility,Your Teammates,"Did you stay open to other ideas?","e.g. Really considering a different approach or saying ""I hadn't thought of that."""
35,q35,🚪,Belonging,Your Classmates,"Did you show up like you belong?","e.g. Using ""we"" and ""us,"" joining in instead of waiting to be invited."
36,q36,✨,Energy,Your Teammates,"Did you bring good energy?","e.g. Positive tone, engaged in the conversation, not dragging the mood down."
37,q37,🎵,Impression,Your Boss,"Did you leave the conversation on a high note?","e.g. Ending with something appreciative or forward-looking, not with a complaint."
38,q38,🍸,Practice,Your Classmates,"Did you try something bold today?","e.g. Starting a hard conversation, asking for something you wanted, or taking a small risk."
